Compatibility list MAME style
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
|romname   | Pl  | Rot | Control Type (for one player)  | Bios | Test | Boot | Game | Notes                                               |
|shaktamb  |  2  |  H  | 2 axis, 5 btn                  |      | Yes  | Yes  | Yes  |                                                     |
|shaktmsp  |  2  |  H  | 2 axis, 5 btn                  |      | Yes  | Yes  | Yes  |                                                     |
|shikgam2  |  2  |  V  | joystick with 3 buttons        |      | Yes  | Yes  | Yes  |                                                     |
|slashout  |  1  |  H  | joystick with 4 buttons        |      | Yes  | Yes  | Yes  |                                                     |
|spkrbtl   |  2  |  H  | joystick with 4 buttons        |      | Yes  | Yes  | Yes  |                                                     |
|sprtjam   |  2  |  H  | joystick with 2 buttons        |      | Yes  | Yes  | Yes  |                                                     |
|ss2005    |  1  |  H  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|ss2005o   |  1  |  H  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|starseek  |  1  |  H  | joystick with ? buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|takoron   |  2  |  H  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|tetkiwam  |  2  |  H  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|trgheart  |  1  |  V  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|trizeal   |  2  |  V  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|undefeat  |  2  |  V  | joystick with 2 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|usagiym   |  1  |  H  | mahjong panel                  | Jap  | Yes  | Yes  | Yes  |                                                     |
|vathlete  |  2  |  H  | joystick with 3 buttons        |      | Yes  | Yes  | Yes  |                                                     |
|vtennis2  |  2  |  H  | joystick with 3 buttons        |      | Yes  | Yes  | Yes  |                                                     |
|vtennisg  |  2  |  H  | joystick with 2 buttons        |      | Yes  | Yes  | Yes  |                                                     |
|wsbbgd    |  2  |  H  | ad stick + 2 buttons           |      | Yes  | Yes  | Yes  |                                                     |
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
| Naomi Satellite system                                                                                                                  |
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
|wccf212e  |  1  |  H  |                                | Exp  | Yes  | Yes  | No   | dimm board unemulated                               |
|wccf234j  |  1  |  H  |                                | Jap  | Yes  | Yes  | No   | dimm board unemulated                               |
|wccf310j  |  1  |  H  |                                | Jap  | Yes  | Yes  | No   | dimm board unemulated                               |
|wccf331e  |  1  |  H  |                                | Exp  | Yes  | Yes  | No   | dimm board unemulated                               |
|wccf322e  |  1  |  H  |                                | Exp  | Yes  | Yes  | No   | dimm board unemulated                               |
|wccf420e  |  1  |  H  |                                | Exp  | Yes  | Yes  | No   | dimm board unemulated                               |
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
| Naomi 2 cartridge system                                                                                                                |
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
|clubk2k3  |  1  |  H  | 1 axis, 2 pedal, 1 btn         |      | Yes  | Yes  | Yes  |                                                     |
|clubk2kp  |  1  |  H  | 1 axis, 2 pedal, 1 btn         |      | Yes  | Yes  | Yes  |                                                     |
|clubkrtc  |  1  |  H  | 1 axis, 2 pedal, 1 btn         |      | Yes  | Yes  | Yes  |                                                     |
|clubkrtd  |  1  |  H  | 1 axis, 2 pedal, 1 btn         |      | Yes  | Yes  | Yes  |                                                     |
|clubkrt   |  1  |  H  | 1 axis, 2 pedal, 1 btn         |      | Yes  | Yes  | Yes  |                                                     |
|clubkprz  |  1  |  H  | 1 axis, 2 pedal, 1 btn         |      | Yes  | Yes  | Yes  |                                                     |
|clubkprzb |  1  |  H  | 1 axis, 2 pedal, 1 btn         |      | Yes  | No   | No   | hopper board unemulated                             |
|kingrt66  |  1  |  H  | 1 axis, 2 pedal, 1 btn         |      | Yes  | Yes  | Yes  |                                                     |
|soulsurf  |  1  |  H  | sensor mat, 2 btn              |      | Yes  | Yes  | Yes  |                                                     |
|vf4cart   |  2  |  H  | joy, 3 btn                     | Usa  | Yes  | Yes  | Yes  |                                                     |
|vf4evoct  |  2  |  H  | joy, 3 btn                     | Usa  | Yes  | Yes  | Yes  |                                                     |
|vstrik3c  |  2  |  H  | joy, 3 btn                     | Usa  | Yes  | Yes  | Yes  |                                                     |
|vstrik3co |  2  |  H  | joy, 3 btn                     | Usa  | Yes  | Yes  | Yes  |                                                     |
|wldrider  |  1  |  H  | 1 axis, 3 pedal, 2 btn         |      | Yes  | Yes  | Yes  |                                                     |
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
| Naomi 2 GD-ROM system                                                                                                                   |
